# Día       	# Fase	# Símbolo	# Nombre
2022-12-01	 7.889	🌓	Cuarto creciente
2022-12-02	 8.822	🌔	Luna creciente gibosa
2022-12-03	 9.833	🌔	Luna creciente gibosa
2022-12-04	10.767	🌔	Luna creciente gibosa
2022-12-05	11.700	🌔	Luna creciente gibosa
2022-12-06	12.556	🌔	Luna creciente gibosa
2022-12-07	13.489	🌔	Luna creciente gibosa
2022-12-08	14.345	🌕	Luna llena
2022-12-09	15.200	🌖	Luna menguante gibosa
2022-12-10	16.056	🌖	Luna menguante gibosa
2022-12-11	16.911	🌖	Luna menguante gibosa
2022-12-12	17.767	🌖	Luna menguante gibosa
2022-12-13	18.622	🌖	Luna menguante gibosa
2022-12-14	19.400	🌖	Luna menguante gibosa
2022-12-15	20.256	🌖	Luna menguante gibosa
2022-12-16	21.111	🌗	Cuarto menguante
2022-12-17	22.045	🌘	Luna menguante
2022-12-18	22.978	🌘	Luna menguante
2022-12-19	23.911	🌘	Luna menguante
2022-12-20	24.922	🌘	Luna menguante
2022-12-21	25.933	🌘	Luna menguante
2022-12-22	26.945	🌘	Luna menguante
2022-12-23	 0.033	🌑	Luna nueva
2022-12-24	 1.122	🌒	Luna creciente
2022-12-25	 2.211	🌒	Luna creciente
2022-12-26	 3.300	🌒	Luna creciente
2022-12-27	 4.389	🌒	Luna creciente
2022-12-28	 5.400	🌒	Luna creciente
2022-12-29	 6.411	🌒	Luna creciente
2022-12-30	 7.422	🌓	Cuarto creciente
2022-12-31	 8.356	🌔	Luna creciente gibosa
2023-01-01	 9.289	🌔	Luna creciente gibosa
2023-01-02	10.222	🌔	Luna creciente gibosa
2023-01-03	11.078	🌔	Luna creciente gibosa
2023-01-04	12.011	🌔	Luna creciente gibosa
2023-01-05	12.867	🌔	Luna creciente gibosa
2023-01-06	13.722	🌔	Luna creciente gibosa
2023-01-07	14.578	🌕	Luna llena
2023-01-08	15.356	🌖	Luna menguante gibosa
2023-01-09	16.211	🌖	Luna menguante gibosa
2023-01-10	17.067	🌖	Luna menguante gibosa
2023-01-11	17.922	🌖	Luna menguante gibosa
2023-01-12	18.778	🌖	Luna menguante gibosa
2023-01-13	19.633	🌖	Luna menguante gibosa
2023-01-14	20.489	🌖	Luna menguante gibosa
2023-01-15	21.422	🌗	Cuarto menguante
2023-01-16	22.356	🌘	Luna menguante
2023-01-17	23.367	🌘	Luna menguante
2023-01-18	24.378	🌘	Luna menguante
2023-01-19	25.389	🌘	Luna menguante
2023-01-20	26.478	🌘	Luna menguante
2023-01-21	27.567	🌘	Luna menguante
2023-01-22	 0.656	🌑	Luna nueva
2023-01-23	 1.745	🌒	Luna creciente
2023-01-24	 2.833	🌒	Luna creciente
2023-01-25	 3.922	🌒	Luna creciente
2023-01-26	 4.933	🌒	Luna creciente
2023-01-27	 5.945	🌒	Luna creciente
2023-01-28	 6.878	🌒	Luna creciente
2023-01-29	 7.811	🌓	Cuarto creciente
2023-01-30	 8.745	🌔	Luna creciente gibosa
2023-01-31	 9.600	🌔	Luna creciente gibosa
2023-02-01	10.456	🌔	Luna creciente gibosa
2023-02-02	11.311	🌔	Luna creciente gibosa
2023-02-03	12.167	🌔	Luna creciente gibosa
2023-02-04	13.022	🌔	Luna creciente gibosa
2023-02-05	13.878	🌔	Luna creciente gibosa
2023-02-06	14.656	🌕	Luna llena
2023-02-07	15.511	🌖	Luna menguante gibosa
2023-02-08	16.367	🌖	Luna menguante gibosa
2023-02-09	17.222	🌖	Luna menguante gibosa
2023-02-10	18.156	🌖	Luna menguante gibosa
2023-02-11	19.011	🌖	Luna menguante gibosa
2023-02-12	19.945	🌖	Luna menguante gibosa
2023-02-13	20.878	🌖	Luna menguante gibosa
2023-02-14	21.811	🌗	Cuarto menguante
2023-02-15	22.822	🌘	Luna menguante
2023-02-16	23.833	🌘	Luna menguante
2023-02-17	24.922	🌘	Luna menguante
2023-02-18	26.011	🌘	Luna menguante
2023-02-19	27.100	🌘	Luna menguante
2023-02-20	 0.189	🌑	Luna nueva
2023-02-21	 1.278	🌒	Luna creciente
2023-02-22	 2.289	🌒	Luna creciente
2023-02-23	 3.378	🌒	Luna creciente
2023-02-24	 4.389	🌒	Luna creciente
2023-02-25	 5.400	🌒	Luna creciente
2023-02-26	 6.333	🌒	Luna creciente
2023-02-27	 7.189	🌓	Cuarto creciente
2023-02-28	 8.122	🌔	Luna creciente gibosa
2023-03-01	 8.978	🌔	Luna creciente gibosa
2023-03-02	 9.833	🌔	Luna creciente gibosa
2023-03-03	10.611	🌔	Luna creciente gibosa
2023-03-04	11.467	🌔	Luna creciente gibosa
2023-03-05	12.322	🌔	Luna creciente gibosa
2023-03-06	13.178	🌔	Luna creciente gibosa
2023-03-07	14.033	🌕	Luna llena
2023-03-08	14.889	🌖	Luna menguante gibosa
2023-03-09	15.745	🌖	Luna menguante gibosa
2023-03-10	16.678	🌖	Luna menguante gibosa
2023-03-11	17.611	🌖	Luna menguante gibosa
2023-03-12	18.545	🌖	Luna menguante gibosa
2023-03-13	19.478	🌖	Luna menguante gibosa
2023-03-14	20.411	🌖	Luna menguante gibosa
2023-03-15	21.422	🌗	Cuarto menguante
2023-03-16	22.433	🌘	Luna menguante
2023-03-17	23.445	🌘	Luna menguante
2023-03-18	24.533	🌘	Luna menguante
2023-03-19	25.622	🌘	Luna menguante
2023-03-20	26.633	🌘	Luna menguante
2023-03-21	27.722	🌘	Luna menguante
2023-03-22	 0.811	🌑	Luna nueva
2023-03-23	 1.822	🌒	Luna creciente
2023-03-24	 2.833	🌒	Luna creciente
2023-03-25	 3.845	🌒	Luna creciente
2023-03-26	 4.778	🌒	Luna creciente
2023-03-27	 5.711	🌒	Luna creciente
2023-03-28	 6.567	🌒	Luna creciente
2023-03-29	 7.422	🌓	Cuarto creciente
2023-03-30	 8.278	🌔	Luna creciente gibosa
2023-03-31	 9.133	🌔	Luna creciente gibosa
2023-04-01	 9.911	🌔	Luna creciente gibosa
2023-04-02	10.767	🌔	Luna creciente gibosa
2023-04-03	11.622	🌔	Luna creciente gibosa
2023-04-04	12.478	🌔	Luna creciente gibosa
2023-04-05	13.411	🌔	Luna creciente gibosa
2023-04-06	14.345	🌕	Luna llena
2023-04-07	15.278	🌖	Luna menguante gibosa
2023-04-08	16.211	🌖	Luna menguante gibosa
2023-04-09	17.145	🌖	Luna menguante gibosa
2023-04-10	18.156	🌖	Luna menguante gibosa
2023-04-11	19.089	🌖	Luna menguante gibosa
2023-04-12	20.100	🌖	Luna menguante gibosa
2023-04-13	21.111	🌗	Cuarto menguante
2023-04-14	22.122	🌘	Luna menguante
2023-04-15	23.133	🌘	Luna menguante
2023-04-16	24.222	🌘	Luna menguante
2023-04-17	25.233	🌘	Luna menguante
2023-04-18	26.245	🌘	Luna menguante
2023-04-19	27.333	🌘	Luna menguante
2023-04-20	 0.345	🌑	Luna nueva
2023-04-21	 1.278	🌒	Luna creciente
2023-04-22	 2.289	🌒	Luna creciente
2023-04-23	 3.222	🌒	Luna creciente
2023-04-24	 4.156	🌒	Luna creciente
2023-04-25	 5.011	🌒	Luna creciente
2023-04-26	 5.945	🌒	Luna creciente
2023-04-27	 6.722	🌒	Luna creciente
2023-04-28	 7.578	🌓	Cuarto creciente
2023-04-29	 8.433	🌔	Luna creciente gibosa
2023-04-30	 9.289	🌔	Luna creciente gibosa
2023-05-01	10.145	🌔	Luna creciente gibosa
2023-05-02	11.000	🌔	Luna creciente gibosa
2023-05-03	11.933	🌔	Luna creciente gibosa
2023-05-04	12.867	🌔	Luna creciente gibosa
2023-05-05	13.800	🌔	Luna creciente gibosa
2023-05-06	14.811	🌕	Luna llena
2023-05-07	15.745	🌖	Luna menguante gibosa
2023-05-08	16.756	🌖	Luna menguante gibosa
2023-05-09	17.767	🌖	Luna menguante gibosa
2023-05-10	18.856	🌖	Luna menguante gibosa
2023-05-11	19.867	🌖	Luna menguante gibosa
2023-05-12	20.878	🌖	Luna menguante gibosa
2023-05-13	21.889	🌗	Cuarto menguante
2023-05-14	22.900	🌘	Luna menguante
2023-05-15	23.911	🌘	Luna menguante
2023-05-16	24.922	🌘	Luna menguante
2023-05-17	25.933	🌘	Luna menguante
2023-05-18	26.867	🌘	Luna menguante
2023-05-19	27.878	🌘	Luna menguante
2023-05-20	 0.811	🌑	Luna nueva
2023-05-21	 1.745	🌒	Luna creciente
2023-05-22	 2.678	🌒	Luna creciente
2023-05-23	 3.533	🌒	Luna creciente
2023-05-24	 4.389	🌒	Luna creciente
2023-05-25	 5.245	🌒	Luna creciente
2023-05-26	 6.100	🌒	Luna creciente
2023-05-27	 6.956	🌒	Luna creciente
2023-05-28	 7.811	🌓	Cuarto creciente
2023-05-29	 8.667	🌔	Luna creciente gibosa
2023-05-30	 9.522	🌔	Luna creciente gibosa
2023-05-31	10.456	🌔	Luna creciente gibosa
2023-06-01	11.389	🌔	Luna creciente gibosa
2023-06-02	12.322	🌔	Luna creciente gibosa
2023-06-03	13.333	🌔	Luna creciente gibosa
2023-06-04	14.345	🌕	Luna llena
2023-06-05	15.433	🌖	Luna menguante gibosa
2023-06-06	16.445	🌖	Luna menguante gibosa
2023-06-07	17.533	🌖	Luna menguante gibosa
2023-06-08	18.545	🌖	Luna menguante gibosa
2023-06-09	19.633	🌖	Luna menguante gibosa
2023-06-10	20.645	🌖	Luna menguante gibosa
2023-06-11	21.656	🌗	Cuarto menguante
2023-06-12	22.667	🌘	Luna menguante
2023-06-13	23.678	🌘	Luna menguante
2023-06-14	24.611	🌘	Luna menguante
2023-06-15	25.545	🌘	Luna menguante
2023-06-16	26.478	🌘	Luna menguante
2023-06-17	27.411	🌘	Luna menguante
2023-06-18	 0.345	🌑	Luna nueva
2023-06-19	 1.200	🌒	Luna creciente
2023-06-20	 2.133	🌒	Luna creciente
2023-06-21	 2.989	🌒	Luna creciente
2023-06-22	 3.845	🌒	Luna creciente
2023-06-23	 4.622	🌒	Luna creciente
2023-06-24	 5.478	🌒	Luna creciente
2023-06-25	 6.333	🌒	Luna creciente
2023-06-26	 7.189	🌓	Cuarto creciente
2023-06-27	 8.045	🌔	Luna creciente gibosa
2023-06-28	 8.978	🌔	Luna creciente gibosa
2023-06-29	 9.911	🌔	Luna creciente gibosa
2023-06-30	10.922	🌔	Luna creciente gibosa
2023-07-01	11.933	🌔	Luna creciente gibosa
2023-07-02	12.945	🌔	Luna creciente gibosa
2023-07-03	14.033	🌕	Luna llena
2023-07-04	15.045	🌖	Luna menguante gibosa
2023-07-05	16.133	🌖	Luna menguante gibosa
2023-07-06	17.222	🌖	Luna menguante gibosa
2023-07-07	18.311	🌖	Luna menguante gibosa
2023-07-08	19.400	🌖	Luna menguante gibosa
2023-07-09	20.411	🌖	Luna menguante gibosa
2023-07-10	21.422	🌗	Cuarto menguante
2023-07-11	22.356	🌘	Luna menguante
2023-07-12	23.367	🌘	Luna menguante
2023-07-13	24.300	🌘	Luna menguante
2023-07-14	25.156	🌘	Luna menguante
2023-07-15	26.089	🌘	Luna menguante
2023-07-16	26.945	🌘	Luna menguante
2023-07-17	27.878	🌘	Luna menguante
2023-07-18	 0.733	🌑	Luna nueva
2023-07-19	 1.589	🌒	Luna creciente
2023-07-20	 2.367	🌒	Luna creciente
2023-07-21	 3.222	🌒	Luna creciente
2023-07-22	 4.078	🌒	Luna creciente
2023-07-23	 4.933	🌒	Luna creciente
2023-07-24	 5.789	🌒	Luna creciente
2023-07-25	 6.645	🌒	Luna creciente
2023-07-26	 7.578	🌓	Cuarto creciente
2023-07-27	 8.511	🌔	Luna creciente gibosa
2023-07-28	 9.445	🌔	Luna creciente gibosa
2023-07-29	10.456	🌔	Luna creciente gibosa
2023-07-30	11.467	🌔	Luna creciente gibosa
2023-07-31	12.556	🌔	Luna creciente gibosa
2023-08-01	13.645	🌔	Luna creciente gibosa
2023-08-02	14.733	🌕	Luna llena
2023-08-03	15.822	🌖	Luna menguante gibosa
2023-08-04	16.911	🌖	Luna menguante gibosa
2023-08-05	18.000	🌖	Luna menguante gibosa
2023-08-06	19.089	🌖	Luna menguante gibosa
2023-08-07	20.100	🌖	Luna menguante gibosa
2023-08-08	21.111	🌗	Cuarto menguante
2023-08-09	22.045	🌘	Luna menguante
2023-08-10	22.978	🌘	Luna menguante
2023-08-11	23.833	🌘	Luna menguante
2023-08-12	24.767	🌘	Luna menguante
2023-08-13	25.622	🌘	Luna menguante
2023-08-14	26.478	🌘	Luna menguante
2023-08-15	27.333	🌘	Luna menguante
2023-08-16	 0.189	🌑	Luna nueva
2023-08-17	 0.967	🌒	Luna creciente
2023-08-18	 1.822	🌒	Luna creciente
2023-08-19	 2.678	🌒	Luna creciente
2023-08-20	 3.533	🌒	Luna creciente
2023-08-21	 4.389	🌒	Luna creciente
2023-08-22	 5.322	🌒	Luna creciente
2023-08-23	 6.178	🌒	Luna creciente
2023-08-24	 7.111	🌓	Cuarto creciente
2023-08-25	 8.045	🌔	Luna creciente gibosa
2023-08-26	 9.056	🌔	Luna creciente gibosa
2023-08-27	10.067	🌔	Luna creciente gibosa
2023-08-28	11.156	🌔	Luna creciente gibosa
2023-08-29	12.245	🌔	Luna creciente gibosa
2023-08-30	13.333	🌔	Luna creciente gibosa
2023-08-31	14.422	🌕	Luna llena
2023-09-01	15.511	🌖	Luna menguante gibosa
2023-09-02	16.600	🌖	Luna menguante gibosa
2023-09-03	17.611	🌖	Luna menguante gibosa
2023-09-04	18.700	🌖	Luna menguante gibosa
2023-09-05	19.711	🌖	Luna menguante gibosa
2023-09-06	20.645	🌖	Luna menguante gibosa
2023-09-07	21.578	🌗	Cuarto menguante
2023-09-08	22.511	🌘	Luna menguante
2023-09-09	23.367	🌘	Luna menguante
2023-09-10	24.222	🌘	Luna menguante
2023-09-11	25.078	🌘	Luna menguante
2023-09-12	25.933	🌘	Luna menguante
2023-09-13	26.711	🌘	Luna menguante
2023-09-14	27.567	🌘	Luna menguante
2023-09-15	 0.422	🌑	Luna nueva
2023-09-16	 1.278	🌒	Luna creciente
2023-09-17	 2.133	🌒	Luna creciente
2023-09-18	 3.067	🌒	Luna creciente
2023-09-19	 3.922	🌒	Luna creciente
2023-09-20	 4.856	🌒	Luna creciente
2023-09-21	 5.789	🌒	Luna creciente
2023-09-22	 6.722	🌒	Luna creciente
2023-09-23	 7.733	🌓	Cuarto creciente
2023-09-24	 8.745	🌔	Luna creciente gibosa
2023-09-25	 9.756	🌔	Luna creciente gibosa
2023-09-26	10.767	🌔	Luna creciente gibosa
2023-09-27	11.856	🌔	Luna creciente gibosa
2023-09-28	12.945	🌔	Luna creciente gibosa
2023-09-29	14.033	🌕	Luna llena
2023-09-30	15.122	🌖	Luna menguante gibosa
2023-10-01	16.133	🌖	Luna menguante gibosa
2023-10-02	17.222	🌖	Luna menguante gibosa
2023-10-03	18.233	🌖	Luna menguante gibosa
2023-10-04	19.167	🌖	Luna menguante gibosa
2023-10-05	20.100	🌖	Luna menguante gibosa
2023-10-06	21.033	🌗	Cuarto menguante
2023-10-07	21.889	🌘	Luna menguante
2023-10-08	22.745	🌘	Luna menguante
2023-10-09	23.600	🌘	Luna menguante
2023-10-10	24.456	🌘	Luna menguante
2023-10-11	25.233	🌘	Luna menguante
2023-10-12	26.089	🌘	Luna menguante
2023-10-13	26.945	🌘	Luna menguante
2023-10-14	27.800	🌘	Luna menguante
2023-10-15	 0.733	🌑	Luna nueva
2023-10-16	 1.589	🌒	Luna creciente
2023-10-17	 2.522	🌒	Luna creciente
2023-10-18	 3.456	🌒	Luna creciente
2023-10-19	 4.467	🌒	Luna creciente
2023-10-20	 5.400	🌒	Luna creciente
2023-10-21	 6.411	🌒	Luna creciente
2023-10-22	 7.345	🌓	Cuarto creciente
2023-10-23	 8.356	🌔	Luna creciente gibosa
2023-10-24	 9.445	🌔	Luna creciente gibosa
2023-10-25	10.456	🌔	Luna creciente gibosa
2023-10-26	11.467	🌔	Luna creciente gibosa
2023-10-27	12.556	🌔	Luna creciente gibosa
2023-10-28	13.567	🌔	Luna creciente gibosa
2023-10-29	14.656	🌕	Luna llena
2023-10-30	15.667	🌖	Luna menguante gibosa
2023-10-31	16.678	🌖	Luna menguante gibosa
2023-11-01	17.611	🌖	Luna menguante gibosa
2023-11-02	18.545	🌖	Luna menguante gibosa
2023-11-03	19.478	🌖	Luna menguante gibosa
2023-11-04	20.333	🌖	Luna menguante gibosa
2023-11-05	21.189	🌗	Cuarto menguante
2023-11-06	22.045	🌘	Luna menguante
2023-11-07	22.900	🌘	Luna menguante
2023-11-08	23.756	🌘	Luna menguante
2023-11-09	24.533	🌘	Luna menguante
2023-11-10	25.389	🌘	Luna menguante
2023-11-11	26.322	🌘	Luna menguante
2023-11-12	27.178	🌘	Luna menguante
2023-11-13	 0.111	🌑	Luna nueva
2023-11-14	 1.045	🌒	Luna creciente
2023-11-15	 2.056	🌒	Luna creciente
2023-11-16	 3.067	🌒	Luna creciente
2023-11-17	 4.000	🌒	Luna creciente
2023-11-18	 5.011	🌒	Luna creciente
2023-11-19	 6.022	🌒	Luna creciente
2023-11-20	 7.033	🌓	Cuarto creciente
2023-11-21	 8.045	🌔	Luna creciente gibosa
2023-11-22	 9.056	🌔	Luna creciente gibosa
2023-11-23	10.067	🌔	Luna creciente gibosa
2023-11-24	11.078	🌔	Luna creciente gibosa
2023-11-25	12.089	🌔	Luna creciente gibosa
2023-11-26	13.100	🌔	Luna creciente gibosa
2023-11-27	14.111	🌕	Luna llena
2023-11-28	15.122	🌖	Luna menguante gibosa
2023-11-29	16.056	🌖	Luna menguante gibosa
2023-11-30	16.989	🌖	Luna menguante gibosa
2023-12-01	17.845	🌖	Luna menguante gibosa
2023-12-02	18.778	🌖	Luna menguante gibosa
2023-12-03	19.633	🌖	Luna menguante gibosa
2023-12-04	20.489	🌖	Luna menguante gibosa
2023-12-05	21.267	🌗	Cuarto menguante
2023-12-06	22.122	🌘	Luna menguante
2023-12-07	22.978	🌘	Luna menguante
2023-12-08	23.833	🌘	Luna menguante
2023-12-09	24.689	🌘	Luna menguante
2023-12-10	25.622	🌘	Luna menguante
2023-12-11	26.556	🌘	Luna menguante
2023-12-12	27.567	🌘	Luna menguante
2023-12-13	 0.500	🌑	Luna nueva
2023-12-14	 1.511	🌒	Luna creciente
2023-12-15	 2.600	🌒	Luna creciente
2023-12-16	 3.611	🌒	Luna creciente
2023-12-17	 4.622	🌒	Luna creciente
2023-12-18	 5.633	🌒	Luna creciente
2023-12-19	 6.722	🌒	Luna creciente
2023-12-20	 7.733	🌓	Cuarto creciente
2023-12-21	 8.745	🌔	Luna creciente gibosa
2023-12-22	 9.678	🌔	Luna creciente gibosa
2023-12-23	10.689	🌔	Luna creciente gibosa
2023-12-24	11.700	🌔	Luna creciente gibosa
2023-12-25	12.633	🌔	Luna creciente gibosa
2023-12-26	13.567	🌔	Luna creciente gibosa
2023-12-27	14.500	🌕	Luna llena
2023-12-28	15.433	🌖	Luna menguante gibosa
2023-12-29	16.289	🌖	Luna menguante gibosa
2023-12-30	17.145	🌖	Luna menguante gibosa
2023-12-31	18.000	🌖	Luna menguante gibosa
2024-01-01	18.856	🌖	Luna menguante gibosa
2024-01-02	19.711	🌖	Luna menguante gibosa
2024-01-03	20.489	🌖	Luna menguante gibosa
2024-01-04	21.345	🌗	Cuarto menguante
2024-01-05	22.200	🌘	Luna menguante
2024-01-06	23.133	🌘	Luna menguante
2024-01-07	23.989	🌘	Luna menguante
2024-01-08	24.922	🌘	Luna menguante
2024-01-09	25.933	🌘	Luna menguante
2024-01-10	26.945	🌘	Luna menguante
2024-01-11	27.956	🌘	Luna menguante
2024-01-12	 1.045	🌒	Luna creciente
2024-01-13	 2.133	🌒	Luna creciente
2024-01-14	 3.145	🌒	Luna creciente
2024-01-15	 4.233	🌒	Luna creciente
2024-01-16	 5.245	🌒	Luna creciente
2024-01-17	 6.333	🌒	Luna creciente
2024-01-18	 7.345	🌓	Cuarto creciente
2024-01-19	 8.278	🌔	Luna creciente gibosa
2024-01-20	 9.289	🌔	Luna creciente gibosa
2024-01-21	10.222	🌔	Luna creciente gibosa
2024-01-22	11.156	🌔	Luna creciente gibosa
2024-01-23	12.089	🌔	Luna creciente gibosa
2024-01-24	12.945	🌔	Luna creciente gibosa
2024-01-25	13.878	🌔	Luna creciente gibosa
2024-01-26	14.733	🌕	Luna llena
2024-01-27	15.589	🌖	Luna menguante gibosa
2024-01-28	16.445	🌖	Luna menguante gibosa
2024-01-29	17.300	🌖	Luna menguante gibosa
2024-01-30	18.078	🌖	Luna menguante gibosa
2024-01-31	18.933	🌖	Luna menguante gibosa
2024-02-01	19.789	🌖	Luna menguante gibosa
2024-02-02	20.645	🌖	Luna menguante gibosa
2024-02-03	21.500	🌗	Cuarto menguante
2024-02-04	22.433	🌘	Luna menguante
2024-02-05	23.367	🌘	Luna menguante
2024-02-06	24.378	🌘	Luna menguante
2024-02-07	25.389	🌘	Luna menguante
2024-02-08	26.400	🌘	Luna menguante
2024-02-09	27.489	🌘	Luna menguante
2024-02-10	 0.578	🌑	Luna nueva
2024-02-11	 1.667	🌒	Luna creciente
2024-02-12	 2.756	🌒	Luna creciente
2024-02-13	 3.767	🌒	Luna creciente
2024-02-14	 4.856	🌒	Luna creciente
2024-02-15	 5.867	🌒	Luna creciente
2024-02-16	 6.878	🌒	Luna creciente
2024-02-17	 7.889	🌓	Cuarto creciente
2024-02-18	 8.822	🌔	Luna creciente gibosa
2024-02-19	 9.678	🌔	Luna creciente gibosa
2024-02-20	10.611	🌔	Luna creciente gibosa
2024-02-21	11.467	🌔	Luna creciente gibosa
2024-02-22	12.322	🌔	Luna creciente gibosa
2024-02-23	13.178	🌔	Luna creciente gibosa
2024-02-24	14.033	🌕	Luna llena
2024-02-25	14.889	🌖	Luna menguante gibosa
2024-02-26	15.745	🌖	Luna menguante gibosa
2024-02-27	16.600	🌖	Luna menguante gibosa
2024-02-28	17.378	🌖	Luna menguante gibosa
2024-02-29	18.233	🌖	Luna menguante gibosa
2024-03-01	19.089	🌖	Luna menguante gibosa
2024-03-02	20.022	🌖	Luna menguante gibosa
2024-03-03	20.878	🌖	Luna menguante gibosa
2024-03-04	21.811	🌗	Cuarto menguante
2024-03-05	22.822	🌘	Luna menguante
2024-03-06	23.833	🌘	Luna menguante
2024-03-07	24.845	🌘	Luna menguante
2024-03-08	25.933	🌘	Luna menguante
2024-03-09	27.022	🌘	Luna menguante
2024-03-10	 0.111	🌑	Luna nueva
2024-03-11	 1.200	🌒	Luna creciente
2024-03-12	 2.289	🌒	Luna creciente
2024-03-13	 3.378	🌒	Luna creciente
2024-03-14	 4.389	🌒	Luna creciente
2024-03-15	 5.400	🌒	Luna creciente
2024-03-16	 6.411	🌒	Luna creciente
2024-03-17	 7.345	🌓	Cuarto creciente
2024-03-18	 8.278	🌔	Luna creciente gibosa
2024-03-19	 9.133	🌔	Luna creciente gibosa
2024-03-20	 9.989	🌔	Luna creciente gibosa
2024-03-21	10.845	🌔	Luna creciente gibosa
2024-03-22	11.700	🌔	Luna creciente gibosa
2024-03-23	12.556	🌔	Luna creciente gibosa
2024-03-24	13.411	🌔	Luna creciente gibosa
2024-03-25	14.267	🌕	Luna llena
2024-03-26	15.122	🌖	Luna menguante gibosa
2024-03-27	15.900	🌖	Luna menguante gibosa
2024-03-28	16.833	🌖	Luna menguante gibosa
2024-03-29	17.689	🌖	Luna menguante gibosa
2024-03-30	18.545	🌖	Luna menguante gibosa
2024-03-31	19.478	🌖	Luna menguante gibosa
2024-04-01	20.411	🌖	Luna menguante gibosa
2024-04-02	21.345	🌗	Cuarto menguante
2024-04-03	22.356	🌘	Luna menguante
2024-04-04	23.367	🌘	Luna menguante
2024-04-05	24.456	🌘	Luna menguante
2024-04-06	25.467	🌘	Luna menguante
2024-04-07	26.556	🌘	Luna menguante
